Date_Time_Hour_Beginning,Thermal_Gen_Excl_Pumping_and_SCO,Eskom_OCGT_SCO_Pumping,Eskom_Gas_SCO_Pumping,Hydro_Water_SCO_Pumping,Pumped_Water_SCO_Pumping,Thermal_Generation,Nuclear_Generation,International_Imports,Eskom_OCGT_Generation,Eskom_Gas_Generation,Dispatchable_IPP_OCGT,Hydro_Water_Generation,Pumped_Water_Generation,IOS_Excl_ILS_and_MLR,ILS_Usage,Manual_Load_Reduction_MLR,Wind,PV,CSP,Other_RE
2022-03-14 03:00:00,17242.800999999999,-5.1989999999999998,-2,0,-1673,18923,913,968,0,0,0,603,0,0,0,0,1338.8309999999999,0,0,16.145
2022-03-14 04:00:00,18602.800999999999,-5.1989999999999998,-2,0,-446,19056,912,1000,0,0,0,603,0,0,0,0,1273.5530000000001,0,0,16.097000000000001
2022-03-14 05:00:00,20759.935000000001,-5.0650000000000004,-2,0,-14,20781,912,1180,0,0,0,603,332,0,0,0,1189.0540000000001,0,0,16.07
2022-03-14 06:00:00,22059.255000000001,-5.0650000000000004,-2,0,-14,22080.32,912,1178,0,0,0,603,806,0,0,0,1166.962,12.804,0,16.07
2022-03-14 07:00:00,21626.800999999999,-5.1989999999999998,-2,0,-14,21648,912,1194,0,0,0,603,851,0,0,0,1174.6890000000001,178.995,0,17.064
2022-03-14 08:00:00,21944.800999999999,-5.1989999999999998,-2,0,-8,21960,912,1175,0,0,0,603,1197,0,0,0,1120.076,504.66000000000003,0.76000000000000001,17.699999999999999
2022-03-14 09:00:00,22156.935000000001,-5.0650000000000004,-2,0,-15,22179,912,1172,0,0,0,603,771,0,0,0,1142.011,825.85199999999998,154.399,17.861999999999998
2022-03-14 10:00:00,22210.485000000001,-5.0650000000000004,-2,0,-16,22233.549999999999,912,1176,0,0,0,603,705,0,0,0,1026.3009999999999,1019.7569999999999,200.727,16.254000000000001
2022-03-14 11:00:00,21978.131000000001,-5.1989999999999998,-2,0,-14,21999.330000000002,912,1190,0,0,0,603,421,0,0,0,1127.9949999999999,1200.979,222.62100000000001,16.585000000000001
2022-03-14 12:00:00,21778.935000000001,-5.0650000000000004,-2,0,-13,21799,912,1208,0,0,0,603,273,0,0,0,1206.0820000000001,1217.2149999999999,324.03500000000003,16.908000000000001
2022-03-14 13:00:00,21894.800999999999,-5.1989999999999998,-2,0,-13,21915,911,1216,0,0,0,603,273,0,0,0,1132.26,1170.654,368.22000000000003,20.181999999999999
